subscriber_id,first_name,last_name,region,plan_type,join_date,status
00134,Edward,Turner,Wales,Basic,28/11/2021,active
00135,Audrey,Begum,South East,Standard,14/12/2021,cancelled
00136,Russell,Bishop,East of England,Standard,07/09/2021,active
00137,Benjamin,Russell,North East,Standard,08/08/2023,active
00138,Hannah,Walsh,Wales,Premium,17/06/2020,active
00139,Theo,Bevan,Scotland,Premium,31/01/2024,active
00140,Charlie,Holmes,London,Premium,13/07/2022,active
00141,Aoife,Smith,North West,Premium,01/01/2020,cancelled
00142,Janet,Howard,South West,Premium,23/02/2021,active
00143,Susan,Llewellyn,North West,Standard,24/10/2020,cancelled
00144,Mariam,Brennan,North East,Standard,22/06/2023,active
00145,Layla,Webster,North West,Standard,06/07/2019,active
00146,Joel,Holmes,North West,Basic,12/05/2019,cancelled
00147,Ian,Doyle,London,Standard,22/08/2020,active
00148,Aidan,Fraser,Scotland,Premium,06/08/2022,active
00149,Rhys,Scott,Wales,Basic,25/09/2021,active
00150,Laura,McCarthy,London,Standard,11/07/2024,active
00151,Elsie,Harris,South East,Standard,28/09/2021,active
00152,Sana,Cooper,London,Standard,24/03/2024,cancelled
00153,Riley,Hunt,South West,Standard,09/08/2020,cancelled
00154,Vera,Sheikh,Northern Ireland,Standard,17/11/2021,active
00155,Penelope,Williams,South West,Standard,17/07/2019,active
00156,Neil,Hill,Wales,Standard,27/04/2024,cancelled
00157,Stuart,Martin,Northern Ireland,Standard,27/03/2019,cancelled
00158,Sharon,Taylor,South West,Premium,08/09/2023,cancelled
00159,Henry,Phillips,North West,Standard,03/10/2023,active
00160,Barbara,Moore,North West,Standard,26/08/2022,active
00161,Rebecca,Moore,South West,Standard,02/06/2019,cancelled
00162,Holly,Howard,East of England,Basic,01/11/2022,active
00163,Matilda,Howard,Northern Ireland,Standard,09/02/2023,cancelled
00164,Lottie,Ahmed,East of England,Standard,25/11/2019,active
00165,Ruth,Sims,North West,Standard,08/08/2020,active
00166,Olivia,Cox,North West,Standard,18/07/2021,active
00167,Sophia,Probert,Midlands,Premium,23/01/2020,active
00168,Laura,Turner,East of England,Basic,07/01/2022,cancelled
00169,Niamh,Davis,Northern Ireland,Premium,16/06/2019,active
00170,Bronwen,McDonald,Scotland,Standard,10/03/2024,active
00171,Oscar,O'Sullivan,East of England,Basic,20/07/2020,cancelled
00172,Thomas,Mills,Scotland,Basic,04/06/2020,active
00173,Tracey,Baker,Yorkshire,Basic,23/01/2023,active
00174,Oscar,Mehta,North West,Standard,25/01/2021,active
00175,Ivy,Gibson,Scotland,Basic,06/10/2023,cancelled
00176,Khadija,Clarke,East of England,Premium,16/04/2021,cancelled
00177,Linda,Khan,South East,Basic,13/02/2021,cancelled
00178,Hannah,Baker,North East,Standard,30/07/2022,cancelled
00179,Tara,Jackson,Wales,Standard,20/11/2021,active
00180,Maeve,Harrison,Yorkshire,Standard,02/03/2022,active
00181,Lewis,Hardy,Midlands,Basic,27/04/2024,active
00182,Harper,Knight,Wales,Premium,14/02/2019,active
00183,Harry,Bradshaw,Wales,Basic,26/05/2024,active
00184,Erin,Black,London,Standard,05/03/2023,cancelled
00185,Joseph,Harris,North East,Standard,19/02/2022,active
00186,Rhys,Burke,Yorkshire,Standard,10/02/2020,active
00187,Carol,Carter,Northern Ireland,Premium,16/12/2019,cancelled
00188,Ruby,Baker,Scotland,Basic,07/08/2023,active
00189,Sharon,Mills,North East,Premium,02/10/2021,cancelled
00190,Roger,Tudor,South East,Basic,22/04/2022,active
00191,Ruby,Stewart,Scotland,Standard,16/02/2022,active
00192,Noah,Ahmed,Yorkshire,Basic,06/09/2022,active
00193,Liam,Dunn,Midlands,Premium,27/08/2022,cancelled
00194,Ruby,Mistry,Northern Ireland,Premium,27/05/2024,active
00195,Adam,Mitchell,Yorkshire,Premium,16/05/2024,active
00196,Maeve,Davis,South East,Basic,28/03/2024,active
00197,Jamie,Pearce,Scotland,Premium,11/09/2020,active
00198,Emily,Roberts,East of England,Basic,03/11/2019,active
00199,Bilal,Brennan,Scotland,Standard,20/05/2020,active
00200,Amelia,Hughes,North East,Basic,14/09/2022,cancelled
00201,Jack,Adams,South West,Basic,21/07/2025,cancelled
00202,Chris,Iqbal,Scotland,Standard,21/02/2026,active
00203,Edith,Adams,Scotland,Basic,15/04/2025,active
00204,Caleb,Johnson,North East,Basic,11/12/2025,active
00205,Toby,Clarke,East of England,Standard,17/09/2025,active
00206,Cerys,O'Sullivan,North East,Premium,11/12/2025,cancelled
00207,Aaliyah,Clarke,Scotland,Standard,31/03/2026,active
00208,Jack,Owen,Scotland,Basic,24/01/2026,active
00209,Oscar,Bevan,London,Premium,30/04/2025,active
00210,Simon,Cameron,London,Standard,13/11/2025,active
00211,Anika,Lewis,Midlands,Basic,27/08/2025,cancelled
00212,Nathan,Murphy,North East,Basic,20/10/2025,active
00213,Noah,Harris,East of England,Standard,20/07/2025,active
00214,Sarah,Lynch,North East,Standard,10/03/2026,active
00215,Sofia,Cooper,Northern Ireland,Basic,17/02/2026,active
00216,Chris,Henderson,Northern Ireland,Standard,24/02/2026,active
00217,Reuben,Jackson,North East,Standard,24/01/2026,active
00218,Oliver,Kaur,Yorkshire,Standard,19/02/2026,cancelled
00219,Aisha,Phillips,South West,Premium,24/09/2025,active
00220,Paul,Harris,South East,Premium,12/07/2025,cancelled
00221,Aaliyah,Reid,Northern Ireland,Premium,30/04/2025,active
00222,Willow,Khan,North East,Premium,14/05/2025,cancelled
00223,Ava,Hunt,Wales,Standard,20/05/2025,cancelled
00224,Maya,Martin,North East,Standard,02/08/2025,active
00225,Mohammed,Brennan,London,Basic,07/08/2025,active
00226,Rory,Roberts,East of England,Premium,20/04/2025,cancelled
00227,Holly,Wood,North East,Basic,16/07/2025,active
00228,Sarah,Reynolds,South West,Premium,24/01/2026,active
00229,Caleb,Allen,East of England,Premium,04/10/2025,active
00230,Aisha,Sheikh,Midlands,Premium,17/02/2026,active
00231,Sinead,Lynch,South West,Standard,19/06/2025,cancelled
00232,Tommy,Berry,Wales,Standard,18/12/2025,cancelled
00233,Ivy,O'Sullivan,Scotland,Standard,14/11/2025,active
00234,Tommy,Morgan,Midlands,Premium,16/12/2025,active
00235,Laura,Davies,North East,Standard,20/02/2026,active
00236,Aaliyah,Rahman,Midlands,Basic,24/01/2026,active
00237,Anna,Johnson,North West,Premium,22/08/2025,cancelled
00238,Sebastian,Bennett,North East,Premium,20/01/2026,active
00239,Tara,Turner,South West,Premium,04/05/2025,active
00240,Sarah,Ahmed,North East,Premium,20/12/2025,active
00241,Mark,Pearce,Northern Ireland,Standard,02/12/2025,cancelled
00242,Joel,Gibson,North West,Basic,09/10/2025,active
00243,Simon,McCarthy,Yorkshire,Premium,18/04/2025,active
00244,Zara,Begum,Scotland,Standard,04/09/2025,active
00245,Eilidh,Evans,London,Standard,10/02/2026,active
00246,Nadia,Russell,Northern Ireland,Premium,16/07/2025,cancelled
00247,Paul,McDonald,Yorkshire,Premium,07/09/2025,active
00248,Eva,Llewellyn,South West,Premium,11/12/2025,cancelled
00249,Erin,Turner,East of England,Basic,21/10/2025,cancelled
00250,Michael,Henderson,Northern Ireland,Standard,14/03/2026,active
00251,Riley,Jackson,South East,Standard,04/04/2026,active
00252,Edward,Owen,North West,Standard,20/04/2026,active
00253,Niamh,Foster,Yorkshire,Basic,16/04/2026,active
00254,Ella,Quinn,South East,Standard,24/04/2026,active
00255,Ethan,Walker,South West,Premium,30/04/2026,cancelled
00256,Cian,Jones,Yorkshire,Premium,22/04/2026,active
00257,Harry,Cooper,North West,Basic,30/04/2026,active
00258,Kiran,Knight,East of England,Basic,10/05/2026,active
00259,Edward,Johnson,Midlands,Basic,04/05/2026,active
00260,Sofia,Thompson,Yorkshire,Standard,21/04/2026,active
00261,Bella,Pearce,South West,Basic,03/05/2026,active
00262,Iwan,Stewart,East of England,Basic,26/04/2026,active
00263,Riya,White,Midlands,Standard,13/05/2026,active
00264,Matthew,Kaur,Scotland,Standard,29/04/2026,active
00265,Daniel,Iqbal,Wales,Standard,11/04/2026,active
00266,Tariq,Kaur,Yorkshire,Standard,15/04/2026,active
00267,Michael,Murphy,Scotland,Basic,06/04/2026,active
00268,Daniel,Khan,East of England,Premium,11/04/2026,active
00269,Toby,Stewart,Scotland,Standard,28/04/2026,active
00270,Eilidh,Taylor,Northern Ireland,Premium,10/04/2026,active
00271,Sebastian,Jackson,South West,Standard,26/04/2026,active
00272,Lucas,Allen,North East,Premium,13/04/2026,active
00273,Penelope,Lynch,Yorkshire,Basic,01/04/2026,active
00274,Harper,Bailey,Scotland,Premium,05/04/2026,active
00275,Chloe,Johnson,East of England,Premium,07/05/2026,active
00276,Lily,Ali,Northern Ireland,Premium,07/05/2026,active
00277,Anika,Adams,Midlands,Basic,03/04/2026,cancelled
00278,Beatrice,Sheikh,Northern Ireland,Standard,04/04/2026,active
00279,Hannah,Jackson,East of England,Standard,15/04/2026,active
00280,Sarah,Gibson,South East,Standard,06/05/2026,active
